force,officer_fte,officer_share_pct,budget_gbp,budget_share_pct,harm_total_sub,harm_share_pct_sub,harm_total_flat,harm_share_pct_flat,gap_officer_sub_pp,gap_budget_sub_pp
Avon and Somerset,3326.66,2.2716,231607316,2.3618,18337215.75,3.4512,18053592.01,3.3978,-1.1796,-1.0895
Bedfordshire,1481.39,1.0116,89796074,0.9157,5364059.75,1.0096,5103882.37,0.9606,0.002,-0.0939
Cambridgeshire,1719.99,1.1745,104239821,1.063,6412478.5,1.2069,6826084.46,1.2847,-0.0324,-0.1439
Cheshire,2395.18,1.6356,150680231,1.5365,9022550.75,1.6981,8861874.04,1.6679,-0.0625,-0.1616
City of London,992.16,0.6775,68842409,0.702,484059.75,0.0911,499170.93,0.0939,0.5864,0.6109
Cleveland,1520.13,1.038,121078242,1.2347,7227817.75,1.3603,7236089.92,1.3619,-0.3223,-0.1257
Cumbria,1365.12,0.9322,84899111,0.8657,3861493.25,0.7268,4138697.4,0.7789,0.2054,0.139
Derbyshire,2101.73,1.4352,142436827,1.4525,8977141.25,1.6896,9118075.56,1.7161,-0.2544,-0.2371
Devon and Cornwall,3617.5,2.4703,238109971,2.4281,15026958.25,2.8282,13443368.07,2.5302,-0.3579,-0.4001
Dorset,1420.29,0.9699,86023913,0.8772,5746187.5,1.0815,5290308.78,0.9957,-0.1116,-0.2043
Durham,1376.08,0.9397,112902355,1.1513,5569165.25,1.0482,5941133.49,1.1182,-0.1085,0.1031
Dyfed-Powys,1291.15,0.8817,38930060,0.397,3783248.5,0.712,4463724.58,0.8401,0.1696,-0.3151
Essex,3759.98,2.5675,226496040,2.3096,14749148.75,2.7759,14824569.88,2.7901,-0.2084,-0.4663
Gloucestershire,1345.94,0.9191,78049635,0.7959,4794704.75,0.9024,5053590.13,0.9511,0.0167,-0.1065
Greater Manchester,8111.89,5.5393,573965227,5.8529,30763302.75,5.7899,33854686.89,6.3717,-0.2506,0.063
Gwent,1549.3,1.058,58261643,0.5941,5507637.75,1.0366,5846861.86,1.1004,0.0214,-0.4425
Hampshire,3369.63,2.301,258895787,2.64,17184711.75,3.2343,16584157.83,3.1213,-0.9333,-0.5943
Hertfordshire,2379.39,1.6248,155245239,1.5831,7876605.25,1.4824,8357463.78,1.5729,0.1423,0.1006
Humberside,2273.18,1.5523,162844543,1.6606,9828250.25,1.8498,10147301.86,1.9098,-0.2975,-0.1892
Kent,4168.18,2.8463,245418856,2.5026,15111249.75,2.8441,17122800.85,3.2227,0.0022,-0.3415
Lancashire,3560.94,2.4316,253239560,2.5824,14816174.75,2.7885,14659762.6,2.7591,-0.3569,-0.2062
Leicestershire,2248.14,1.5352,149398893,1.5235,10418672.0,1.9609,9594390.26,1.8057,-0.4257,-0.4374
Lincolnshire,1173.49,0.8013,85506516,0.8719,6489390.5,1.2214,5930570.04,1.1162,-0.42,-0.3494
Merseyside,4158.78,2.8399,331638676,3.3818,11573880.25,2.1783,13679484.27,2.5746,0.6616,1.2035
Metropolitan Police,33293.04,22.7346,2293667499,23.3891,81649848.0,15.3672,80148317.14,15.0846,7.3674,8.022
Norfolk,1911.14,1.305,115480008,1.1776,7190471.0,1.3533,6373326.38,1.1995,-0.0483,-0.1757
North Wales,1736.07,1.1855,56384956,0.575,5478804.75,1.0312,6103324.64,1.1487,0.1543,-0.4562
North Yorkshire,1655.36,1.1304,99967235,1.0194,5030733.0,0.9468,4736335.2,0.8914,0.1836,0.0726
Northamptonshire,1464.9,1.0003,96686118,0.9859,7093791.5,1.3351,6456323.4,1.2151,-0.3348,-0.3492
Northumbria,3829.04,2.6147,300591884,3.0652,15173549.5,2.8558,13565159.5,2.5531,-0.2411,0.2094
Nottinghamshire,2390.73,1.6325,178948808,1.8248,10857704.5,2.0435,9334095.11,1.7568,-0.411,-0.2187
South Wales,3511.48,2.3979,135114023,1.3778,10010273.5,1.884,10506622.29,1.9774,0.5138,-0.5062
South Yorkshire,3026.46,2.0667,250092807,2.5503,15335850.75,2.8863,15333256.98,2.8858,-0.8197,-0.3361
Staffordshire,1996.57,1.3634,154682190,1.5773,9576624.25,1.8024,9602508.58,1.8073,-0.439,-0.2251
Suffolk,1403.22,0.9582,92286811,0.9411,5598310.25,1.0536,4839641.43,0.9109,-0.0954,-0.1126
Surrey,2329.62,1.5908,132132164,1.3474,6817360.75,1.2831,7323852.76,1.3784,0.3077,0.0643
Sussex,3206.09,2.1893,216775293,2.2105,14517415.75,2.7323,13094346.68,2.4645,-0.543,-0.5218
Thames Valley,5000.26,3.4145,304039970,3.1004,16771051.5,3.1565,16649420.27,3.1336,0.258,-0.0561
Warwickshire,1131.23,0.7725,70314436,0.717,4516084.5,0.85,4141169.59,0.7794,-0.0775,-0.1329
West Mercia,2509.29,1.7135,159104841,1.6224,8950411.0,1.6845,8635563.32,1.6253,0.029,-0.0621
West Midlands,7990.7,5.4565,598077146,6.0987,34647332.5,6.5209,34857750.54,6.5605,-1.0644,-0.4222
West Yorkshire,6138.27,4.1916,420762883,4.2906,28314806.5,5.3291,30651242.44,5.7688,-1.1375,-1.0385
Wiltshire,1212.77,0.8282,82937470,0.8457,4869714.0,0.9165,4342344.17,0.8173,-0.0884,-0.0708
