force,asb_annual_count
Avon and Somerset,28264
Bedfordshire,9626
Cambridgeshire,13756
Cheshire,7491
City of London,170
Cleveland,17107
Cumbria,2203
Derbyshire,14047
Devon and Cornwall,17323
Dorset,13734
Durham,14840
Dyfed-Powys,3548
Essex,14649
Gloucestershire,11221
Gwent,12193
Hampshire,17595
Hertfordshire,20161
Humberside,7763
Kent,32505
Lancashire,31157
Leicestershire,14006
Lincolnshire,15110
Merseyside,14907
Metropolitan Police,235019
Norfolk,8471
North Wales,12380
North Yorkshire,14006
Northamptonshire,15145
Northumbria,29554
Nottinghamshire,18543
South Wales,15800
South Yorkshire,25763
Staffordshire,16194
Suffolk,3827
Surrey,13449
Sussex,30698
Thames Valley,20065
Warwickshire,11039
West Mercia,15626
West Midlands,14668
West Yorkshire,26757
Wiltshire,9863
