force,rank,Latitude,Longitude,searches,linked_finds,find_rate
avon-and-somerset,1,51.525605,-2.595396,152,107,0.7039473684210527
avon-and-somerset,2,51.45929,-2.576637,112,37,0.33035714285714285
avon-and-somerset,3,51.456685,-2.586981,82,34,0.4146341463414634
avon-and-somerset,4,51.525403,-2.598546,76,54,0.7105263157894737
avon-and-somerset,5,51.347233,-2.975759,71,21,0.29577464788732394
bedfordshire,1,51.878543,-0.421262,142,20,0.14084507042253522
bedfordshire,2,51.8831,-0.376845,115,49,0.4260869565217391
bedfordshire,3,51.878609,-0.415876,113,16,0.1415929203539823
bedfordshire,4,51.880252,-0.418645,101,27,0.26732673267326734
bedfordshire,5,52.138384,-0.471477,82,25,0.3048780487804878
cambridgeshire,1,52.205622,0.118912,75,27,0.36
cambridgeshire,2,52.572933,-0.241374,72,21,0.2916666666666667
cambridgeshire,3,52.577328,-0.23404,58,17,0.29310344827586204
cambridgeshire,4,52.574355,-0.24207,54,15,0.2777777777777778
cambridgeshire,5,52.203247,0.130463,49,18,0.3673469387755102
cheshire,1,53.388724,-2.592915,442,129,0.2918552036199095
cheshire,2,53.190664,-2.891324,436,142,0.3256880733944954
cheshire,3,53.207231,-2.91112,373,133,0.35656836461126007
cheshire,4,53.196815,-2.881452,364,123,0.33791208791208793
cheshire,5,53.097176,-2.438784,324,91,0.2808641975308642
city-of-london,1,51.516869,-0.081113,257,109,0.42412451361867703
city-of-london,2,51.517296,-0.081902,208,77,0.3701923076923077
city-of-london,3,51.513736,-0.095224,171,80,0.4678362573099415
city-of-london,4,51.512105,-0.085089,159,87,0.5471698113207547
city-of-london,5,51.517326,-0.079883,118,49,0.4152542372881356
cleveland,1,54.566205,-1.310449,530,98,0.18490566037735848
cleveland,2,54.593647,-1.084676,471,63,0.1337579617834395
cleveland,3,54.580304,-1.236892,411,91,0.22141119221411193
cleveland,4,54.686256,-1.214733,254,73,0.2874015748031496
cleveland,5,54.56376,-1.328013,168,42,0.25
cumbria,1,54.892192,-2.932526,335,146,0.43582089552238806
cumbria,2,54.890439,-2.931409,281,117,0.41637010676156583
cumbria,3,54.797879,-2.872123,253,84,0.33201581027667987
