force,pool,pool_name,current_fte,target_fte,allocated_fte,absolute_deviation,harm_weighted_demand,demand_pressure_index_pct,reallocation_pct
Avon and Somerset,Pool_2_Investigators,Police Staff and Designated Officers (Investigators),2722,3025.503745143027,3025.0,0.50374514,18331845.36,99.98335004067222,11.131520940484938
Bedfordshire,Pool_2_Investigators,Police Staff and Designated Officers (Investigators),1151,891.575829354247,891.0,0.57582935,5402151.71,99.93541442743417,-22.589052997393573
Cambridgeshire,Pool_2_Investigators,Police Staff and Designated Officers (Investigators),872,1088.6061759270633,1088.0,0.60617593,6595979.3,99.94431632481351,24.770642201834864
Cheshire,Pool_2_Investigators,Police Staff and Designated Officers (Investigators),1445,1390.2603577107943,1390.0,0.26035771,8423733.71,99.98127273719989,-3.8062283737024223
City of London,Pool_2_Investigators,Police Staff and Designated Officers (Investigators),637,72.4387344766675,319.0,246.56127,438913.91,440.3721328162487,-49.92150706436421
Cleveland,Pool_2_Investigators,Police Staff and Designated Officers (Investigators),910,1188.6770269493586,1188.0,0.67702695,7202319.11,99.94304365828486,30.54945054945055
Cumbria,Pool_2_Investigators,Police Staff and Designated Officers (Investigators),600,612.110795374397,612.0,0.11079537,3708843.68,99.9818994575436,2.0
Derbyshire,Pool_2_Investigators,Police Staff and Designated Officers (Investigators),1506,1519.9937571116304,1519.0,0.99375711,9209802.02,99.93462097413355,0.8632138114209826
Devon and Cornwall,Pool_2_Investigators,Police Staff and Designated Officers (Investigators),1923,2665.7397137060457,2665.0,0.73971371,16151997.26,99.97225109029803,38.585543421736865
Dorset,Pool_2_Investigators,Police Staff and Designated Officers (Investigators),1154,810.3220869561917,810.0,0.32208696,4909826.74,99.96025198357835,-29.809358752166375
Durham,Pool_2_Investigators,Police Staff and Designated Officers (Investigators),955,906.9786400835484,906.0,0.97864008,5495478.96,99.89209888300586,-5.130890052356021
Dyfed-Powys,Pool_2_Investigators,Police Staff and Designated Officers (Investigators),819,536.5013352730402,536.0,0.50133527,3250718.0100000002,99.90655470171662,-34.55433455433455
Essex,Pool_2_Investigators,Police Staff and Designated Officers (Investigators),1977,2448.320792138075,2448.0,0.32079214,14834633.15,99.9868974629834,23.823975720789075
