force,harm,harm_share,precept,grant_old,grant_new,delta,delta_pct,csp_old,csp_new
Metropolitan Police,78176489.28999999,0.15361203776076376,1028389503.0,2293667499.0,1281481840.86,-1012185658.14,-44.13,3322057002.0,2309871343.86
Merseyside,11524873.63,0.0226456744133437,111273380.0,331638676.0,229250677.57,-102387998.43,-30.87,442912056.0,340524057.57
Surrey,7095151.779999999,0.013941540903744902,177764497.0,132132164.0,31875100.86,-100257063.14,-75.88,309896661.0,209639597.86
North Yorkshire,5486182.51,0.010780014330937242,104032909.0,99967235.0,58066667.0,-41900568.0,-41.91,204000144.0,162099576.0
Thames Valley,18546407.85,0.03644256129758377,278885731.0,304039970.0,269102755.22,-34937214.78,-11.49,582925701.0,547988486.22
Dyfed-Powys,3357723.95,0.006597722958424,93032816.0,38930060.0,6177450.45,-32752609.55,-84.13,131962876.0,99210266.45
Cumbria,3847348.1,0.007559804577865596,61513817.0,84899111.0,52163315.43,-32735795.57,-38.56,146412928.0,113677132.43
South Wales,10682601.06,0.02099066013727738,211664158.0,135114023.0,103973373.06,-31140649.94,-23.05,346778181.0,315637531.06
Dorset,5145591.17,0.010110773101812853,96077903.0,86023913.0,55958261.57,-30065651.43,-34.95,182101816.0,152036164.57
North Wales,5171859.39,0.010162388553455604,122962611.0,56384956.0,29849697.51,-26535258.49,-47.06,179347567.0,152812308.51
Hertfordshire,8634007.36,0.016965298348088974,124356129.0,155245239.0,130751849.94,-24493389.06,-15.78,279601368.0,255107978.94
Kent,13949193.27,0.027409314779725278,183707973.0,245418856.0,228447165.93,-16971690.07,-6.92,429126829.0,412155138.93
Gloucestershire,4898377.43,0.00962501316671281,79577977.0,78049635.0,65153792.87,-12895842.13,-16.52,157627612.0,144731769.87
Wiltshire,5203404.9399999995,0.010224373636973596,77635922.0,82937470.0,76108459.09,-6829010.91,-8.23,160573392.0,153744381.09
Cheshire,8736325.25,0.017166346767185637,111918516.0,150680231.0,146212637.35,-4467593.65,-2.96,262598747.0,258131153.35
Norfolk,7394543.989999999,0.014529828352893393,106874038.0,115480008.0,111611665.55,-3868342.45,-3.35,222354046.0,218485703.55
Suffolk,5767396.2299999995,0.011332582154944279,79830318.0,92286811.0,90578246.02,-1708564.98,-1.85,172117129.0,170408564.02
West Mercia,10087210.780000001,0.01982075451725806,137997657.0,159104841.0,160047948.93,943107.93,0.59,297102498.0,298045605.93
Warwickshire,4875406.640000001,0.009579876964090754,68851113.0,70314436.0,75201941.69,4887505.69,6.95,139165549.0,144053054.69
Durham,5839322.28,0.011473912460371489,52119878.0,112902355.0,120413876.39,7511521.39,6.65,165022233.0,172533754.39
Cambridgeshire,6974293.999999999,0.01370406273052874,92986426.0,104239821.0,113082201.54,8842380.54,8.48,197226247.0,206068627.54
Gwent,5651953.83,0.011105744873441264,93286501.0,58261643.0,73711100.29,15449457.29,26.52,151548144.0,166997601.29
Bedfordshire,5802911.01,0.011402366533546749,66153261.0,89796074.0,105304653.97,15508579.97,17.27,155949335.0,171457914.97
Humberside,9289866.89,0.018254022359657042,86855887.0,162844543.0,187630694.74,24786151.74,15.22,249700430.0,274486581.74
Lincolnshire,6472157.72,0.012717395538065338,78903586.0,85506516.0,112328481.16,26821965.16,31.37,164410102.0,191232067.16
Northamptonshire,7190718.89,0.014129324451501182,84405845.0,96686118.0,128057462.79,31371344.79,32.45,181091963.0,212463307.79
Staffordshire,10036173.57,0.019720469509566785,106273773.0,154682190.0,190263842.62,35581652.62,23.0,260955963.0,296537615.62
Sussex,14770791.14,0.02902370453010701,177339747.0,216775293.0,259091045.56,42315752.56,19.52,394115040.0,436430792.56
Derbyshire,9683495.56,0.01902747871039514,100481115.0,142436827.0,185635965.8,43199138.8,30.33,242917942.0,286117080.8
Leicestershire,10306595.31,0.020251831750484468,105066901.0,149398893.0,199460833.3,50061940.3,33.51,254465794.0,304527734.3
Lancashire,15021118.549999999,0.02951558263702518,130877615.0,253239560.0,312949571.49,59710011.49,23.58,384117175.0,443827186.49
Essex,15688523.9,0.030826993481347275,176905154.0,226496040.0,286641778.25,60145738.25,26.55,403401194.0,463546932.25
Cleveland,7937524.34,0.015596751654068318,52667814.0,121078242.0,181861264.76,60783022.76,50.2,173746056.0,234529078.76
Devon and Cornwall,16684028.54,0.03278309943774837,192241234.0,238109971.0,300719754.33,62609783.33,26.29,430351205.0,492960988.33
Nottinghamshire,11743656.68,0.023075569775021367,101019090.0,178948808.0,245969324.08,67020516.08,37.45,279967898.0,346988414.08
Northumbria,15440847.52,0.030340324486838256,82884762.0,300591884.0,373344105.98,72752221.98,24.2,383476646.0,456228867.98
Hampshire,18538512.36,0.03642704714084643,200746599.0,258895787.0,347008600.13,88112813.13,34.03,459642386.0,547755199.13
South Yorkshire,15029529.98,0.029532110584423652,100125232.0,250092807.0,343950486.0,93857679.0,37.53,350218039.0,444075718.0
Avon and Somerset,19904955.259999998,0.03911202417497857,177637987.0,231607316.0,410491336.45,178884020.45,77.24,409245303.0,588129323.45
West Midlands,33566582.45,0.06595628913037867,175423018.0,598077146.0,816364763.94,218287617.94,36.5,773500164.0,991787781.94
West Yorkshire,28767979.799999997,0.05652732732657723,182552185.0,420762883.0,667451860.52,246688977.52,58.63,603315068.0,850004045.52
