# Police Grant Report 2025-26 — central government grant per Police Force
# Area, England and Wales. Source: Home Office, gov.uk. The figures are the
# 'Overall Total' column of the Police Grant Report 2025-26 per-force table:
# Police Main Grant + ex-DCLG Formula Funding + Legacy Council Tax Grants +
# Welsh Top-Up (where applicable). Council tax precept (~40% of total force
# funding) is locally raised and excluded by design — only the centrally-
# controlled grant pool can be redistributed.
#
# Welsh forces (Dyfed-Powys, Gwent, North Wales, South Wales) carry £0 in
# DCLG Formula Funding and Legacy Council Tax Grants — those streams are
# routed through the Welsh Government separately. The figure here is Police
# Main Grant + Welsh Top-Up only, which makes Welsh forces appear lower
# than English peers of comparable size; flag this in any like-for-like
# comparison.
#
# National total reconciles to £9,806,553,489. 43 territorial forces.
force,budget_gbp
Avon and Somerset,231607316
Bedfordshire,89796074
Cambridgeshire,104239821
Cheshire,150680231
City of London,68842409
Cleveland,121078242
Cumbria,84899111
Derbyshire,142436827
Devon and Cornwall,238109971
Dorset,86023913
Durham,112902355
Dyfed-Powys,38930060
Essex,226496040
Gloucestershire,78049635
Greater Manchester,573965227
Gwent,58261643
Hampshire,258895787
Hertfordshire,155245239
Humberside,162844543
Kent,245418856
Lancashire,253239560
Leicestershire,149398893
Lincolnshire,85506516
Merseyside,331638676
Metropolitan Police,2293667499
Norfolk,115480008
North Wales,56384956
North Yorkshire,99967235
Northamptonshire,96686118
Northumbria,300591884
Nottinghamshire,178948808
South Wales,135114023
South Yorkshire,250092807
Staffordshire,154682190
Suffolk,92286811
Surrey,132132164
Sussex,216775293
Thames Valley,304039970
Warwickshire,70314436
West Mercia,159104841
West Midlands,598077146
West Yorkshire,420762883
Wiltshire,82937470
